uid,Family,time,status,n_observations,experiment_id,Experiment,temperature_C,Family_identity_note
plate-Q_C02,6,22,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-Q_C03,6,43,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-Q_C04,6,27,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
100,2,17,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
11,1,17,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
111,5,42,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
136,10,24,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
137,6,17,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
138,9,42,0,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
139,8,17,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
163,2,17,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
164,6,42,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
167,10,17,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
2,1,17,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
200,10,24,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
201,1,20,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
206,9,42,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
207,1,17,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
208,5,42,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
210,3,24,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
211,9,42,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
212,9,42,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
213,5,24,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
214,5,42,0,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
215,8,20,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
216,6,17,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
217,8,24,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
32,8,42,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
42,2,17,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
5,2,24,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
61,1,24,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
62,2,24,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
63,9,24,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
71,8,24,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
75,5,24,1,8,20260604,20260604 - 36 C,36,Observed label treated as family identity
83,3,17,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
86,6,17,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
9,10,17,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
92,3,24,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
93,6,24,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
94,10,24,1,4,20260604,20260604 - 36 C,36,Observed label treated as family identity
plate-A_A01,7,48,1,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-A_A02,9,48,1,7,20260609,20260609 - 36 C,36,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
plate-A_A03,5,48,1,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-A_A04,6,48,1,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-A_B01,10,29,1,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-A_B02,8,52,0,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-A_B03,9B,48,1,7,20260609,20260609 - 36 C,36,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
plate-A_B04,1,48,1,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-A_C01,3,50,1,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-A_C02,3,50,1,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
